,0,1
0,1,0.9258130081300813
1,3,0.9380081300813008
2,5,0.9359756097560976
3,7,0.9329268292682927
4,9,0.9288617886178862
5,11,0.9278455284552846
6,13,0.9288617886178862
7,15,0.9308943089430894
8,17,0.9308943089430894
9,19,0.9308943089430894
10,21,0.931910569105691
11,23,0.931910569105691
12,25,0.9329268292682927
13,27,0.931910569105691
14,29,0.931910569105691
15,31,0.9329268292682927
16,33,0.931910569105691
17,35,0.931910569105691
18,37,0.931910569105691
19,39,0.931910569105691
20,41,0.931910569105691
21,43,0.931910569105691
22,45,0.931910569105691
23,47,0.9308943089430894
24,49,0.9308943089430894
