,0,1
0,1,0.9205366357069145
1,3,0.9248677248677248
2,5,0.9339019189765458
3,7,0.9350372736954207
4,9,0.9311827956989247
5,11,0.9310344827586207
6,13,0.9310344827586207
7,15,0.9311827956989247
8,17,0.9308855291576673
9,19,0.9297297297297297
10,21,0.9285714285714286
11,23,0.9297297297297297
12,25,0.9308855291576673
13,27,0.9308855291576673
14,29,0.9297297297297297
15,31,0.9297297297297297
16,33,0.9274106175514625
17,35,0.9285714285714286
18,37,0.9285714285714286
19,39,0.9285714285714286
20,41,0.9262472885032539
21,43,0.9274106175514625
22,45,0.9274106175514625
23,47,0.9250814332247558
24,49,0.9250814332247558
