,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
254845,0.911775663938339,2.00745268714205,0.15912518626085698,-1.61312178645313,1.4052434085994598,0.368803470195492,-1.15843942098466,0.623103641259536,-0.392686784269747,0.27995081627296603,0.268492528358996,-1.06158264090489,0.0457470559101567,-0.7858535084724909,0.6406632638403249,-0.45976850535277003,-0.7134068403105072,-0.0963258957434916,-0.5940385795104449,-0.223564378639548,-0.31347480655259696,0.0504469619412742,0.325640069406688,-0.005033500019430429,-0.021475312895294994,0.43635477814115703,-0.488864217882014,-0.020122512825261,-0.0612708280066342,0.0074461136512083605,0
196279,0.7632758560467581,-0.8625178312357691,-0.628935877944123,0.9276898984797449,-2.20373448989716,-0.0840422118489252,0.770188663813056,0.134622238816408,0.0959980472609031,-1.10639005492951,0.0634695239363447,0.238141649597684,-0.156265352893543,1.08920395279505,-0.6278011935730949,-0.40318526323262605,1.76989561261599,-0.67490920092031,-0.18581766972736802,0.7087000066727661,0.148664135666327,0.45577055093016106,1.25957860951259,-0.3123265751251,-0.0383032105232617,0.0499632596783863,-0.0733094289082283,0.10884187575077399,0.0810289019261394,0.06858262573481386,0
178665,0.7183981650735252,0.12918928618405498,0.919442714731297,-0.583557601172031,-0.7645221800698191,1.15984309739097,-0.194322758354103,0.7913880510803198,0.132294368259631,-0.167840189792483,-0.649944808381169,0.534582956827639,0.0589733552571244,-0.727198509120888,-0.6981180935916489,-0.7804077025706451,0.6334995723858879,0.0505036581607087,0.4244440389365611,0.163076974271505,-0.0130091480345756,-0.323166709295208,-0.840249846004186,0.0378281122260996,0.0115447514008491,-0.43175308955890507,0.130123760331985,0.217175261668028,0.0673803499727096,0.0003419525876973912,0
78450,0.3330810697528205,-0.577628875697911,0.6399035138759399,2.6647574883790095,2.67964938333567,-0.18595641239538502,1.40779077784203,-0.345072485864727,0.514078717016705,-1.2475328597709099,0.683824935834897,1.07175378230547,0.49686961800346,0.9651821537238809,-0.12424204142711001,1.3086250032066598,0.529572003896835,-0.43410811063020094,0.9391678324772491,0.426438195836375,0.358969157536609,0.448692647971238,1.2216166523894598,-0.0322011630413286,-0.272096003700203,-0.499175970407644,0.343925426436529,0.18362929498308,0.149064613387713,0.02323356514388904,0
112112,0.42028664904702584,-3.7309141097744503,-3.16986692393463,1.7847342471981897,0.741789056960892,0.9627457176122809,0.160032723040774,-0.4636546097851811,-0.126894017570172,-0.37864820534437205,1.43836676040677,-0.199461320797293,-0.526566232771713,-0.0039142453640673,-0.814151233455082,0.546896641538957,-0.9482334923017299,-0.803544542028339,2.7032904392406802,0.8310973967673192,-1.8131926500566202,-0.8775104564047169,0.353537108690428,1.90803313201388,-0.8688507578020028,0.9463074718734521,-0.0329023484097808,-0.213847398348474,-0.771736896038418,0.024105736350712725,0
123824,0.4468674684767549,1.3622354681812798,-0.00340772416498101,-0.0520595717825064,-0.25588102674481,-0.23508802459501502,-0.7398759011911121,-0.02525712731715,-0.15024124494249697,0.38945136088725,-0.17354431639997697,-1.09132286897561,-0.47449735370210705,-0.613819192313326,0.3866945098293901,1.1991264423686998,0.494793993234291,-0.520195403736801,-0.28941064610537,0.48857704866862794,-0.10276885270108302,-0.296871926819924,-0.8850043594115921,0.0187878074380522,-0.43634184506285206,0.255146884601952,0.902348372846873,-0.0934643638938059,-0.006486123452295429,0.00038421639067122605,0
198467,0.7695106474635868,-0.7151173728886071,0.754049807907109,0.5929725567950539,-0.453478012928679,1.24457015917398,-1.4393220533209101,1.21082902826007,-0.5272964170871189,-0.238963563193156,-1.04080976640967,-0.28722564591904304,-0.23322302424309696,0.26971188218973496,-1.18556655255959,0.6888766885958061,0.0750485440229843,0.26422437817433303,0.558320604137025,-0.425203173473873,0.0309676601261271,0.14329391892572,0.591399015347655,-0.49757968571614797,-0.00925047779861617,1.15725081310942,-0.00153748361777858,-0.37084544575072603,-0.227190441920912,0.0012064394667076499,0
134475,0.468657220365821,-0.24309264606272799,-1.77447055177578,-0.749602977081876,1.81708449762956,-0.600215150110192,0.00323602016854942,0.906256628091096,-0.0667656470937795,-0.361785662047608,-0.66417911460138,1.8973036382183603,0.6813403540774641,-0.163563223166033,-0.527369733490494,0.790211843478178,0.652967975593184,0.526123129420927,0.5851790487157671,-0.906858825888101,1.31372065965796,0.365227090087668,-0.54457652089886,-0.6259922698799879,-0.0694116641476835,0.13337969879064399,-0.511005252752851,-0.0846603165601087,0.16446609764580403,0.27478772044415417,0
211139,0.8031237993223812,-1.0187977694707,-0.40958706508357207,1.84694868907442,-2.59631057715527,-1.12104295500948,2.05345424602871,-1.31731552027977,1.05458076586181,-2.21122481496724,0.468485865936305,0.8284085720451321,0.12809833789244401,1.1163519407761002,-0.587715881442105,0.15309646076205702,-0.8824877622591328,1.1392030284819,-0.384919468996442,-0.546994166830059,-0.38663465223850607,0.0320836432484892,0.513683153791768,-0.15115730040224698,-1.41825221227851,0.0146362982036246,0.0505182477614279,-0.0755184059891975,-0.0283717821787564,0.02228455065893111,0
76034,0.32628741748070184,-1.231485473353,-0.249419625897537,0.0094866977323671,-1.44581913642292,3.0884193307771497,3.0549947755939706,0.7353427881653329,0.56004817538964,-0.535064334694757,-0.426401039190904,-0.0591971176238658,-0.290620515440297,-0.165905146847644,0.119768439458715,0.6027615360062609,0.678113571065264,-1.1918171981086,-0.352446150201628,-0.0427206381347484,0.00456026432541759,-0.6039614062762779,-1.7555061894117998,0.565857756004796,0.931248279468105,0.464797359834428,-0.207490632586385,-0.289692925036305,-0.310810563252072,0.032658393207054215,0
103709,0.3984968971579597,1.04828361353696,-0.968588842443448,0.284368294529021,-1.05912040049022,-0.7210274699338589,0.628587235189958,-0.823631036151145,0.43538776007334395,1.98740652024353,-0.9339755257280781,0.0494109356887835,-0.0678044389813155,-2.17345000711257,0.46279576930951,1.18343244057324,-0.0652754277629374,-0.417446734534943,0.9410069484713459,0.8945688610373109,-0.0513063911955742,0.0410699169784558,0.04131882944539,-0.230486353908278,-1.19248283593602,0.44270059340603396,-0.590459595590306,0.0729478082806426,0.022449606819386004,0.03842163906712261,0
